timestamp,open,high,low,close,volume,turnover
2022-01-03,29.695,30.87,23.105,24.61,16367413.4,444741988.214
2022-01-10,24.61,28.44,22.345,27.68,10601138.4,274757441.105
2022-01-17,27.68,27.725,16.03,18.805,12657863.0,274519651.28
2022-01-24,18.805,20.035,15.81,18.13,8856229.3,159310276.8695
2022-01-31,18.13,22.235,17.115,21.88,7233009.1,142452585.7825
2022-02-07,21.88,23.17,18.245,18.725,6710911.5,140536575.829
2022-02-14,18.725,20.315,16.67,16.9,5389783.8,99500814.184
2022-02-21,16.9,18.79,14.025,17.475,9866906.6,163225929.407
2022-02-28,17.475,19.545,16.175,16.97,7426833.5,132910008.3735
2022-03-07,16.97,18.705,15.99,17.215,7225400.9,125850054.4195
2022-03-14,17.215,19.775,16.995,18.645,7106819.6,131038369.856
2022-03-21,18.645,22.455,18.305,22.44,7773987.4,158214578.154
2022-03-28,22.44,23.84,20.58,23.185,9474739.0,212644809.897
2022-04-04,23.185,23.195,19.12,19.2,6459331.4,134822359.0145
2022-04-11,19.2,19.275,16.955,17.73,7061024.0,127131982.1945
2022-04-18,17.73,19.665,17.085,18.155,6898711.2,127810109.805
2022-04-25,18.155,18.32,14.135,15.335,6533776.5,108146721.0405
2022-05-02,15.335,16.44,13.02,13.235,10381442.2,151060547.629
2022-05-09,13.235,13.47,7.245,11.795,50717533.6,516394055.8765
2022-05-16,11.795,11.805,9.21,10.15,16595779.3,170619902.219
2022-05-23,10.15,10.725,8.56,9.975,23387470.3,224544193.3255
2022-05-30,9.975,10.79,9.11,9.34,19770235.2,196027969.788
2022-06-06,9.34,9.93,7.375,7.395,18410225.8,161679335.2865
2022-06-13,7.395,8.785,6.34,7.505,38149806.5,274082094.9835
2022-06-20,7.505,8.48,7.145,7.835,18135398.6,142576049.9015
2022-06-27,7.835,8.195,6.54,6.845,17877944.7,128279267.1265
2022-07-04,6.845,7.455,6.36,6.85,21555690.1,150385432.923
2022-07-11,6.85,7.33,5.97,6.91,25206211.4,167652421.837
2022-07-18,6.91,8.075,6.9,7.39,33528642.7,254145704.7025
2022-07-25,7.39,9.195,6.51,8.615,32913376.2,258354043.1965
2022-08-01,8.615,8.98,7.66,8.645,26346199.4,218356399.4895
2022-08-08,8.645,9.67,8.535,8.94,29355395.8,270024764.6555
2022-08-15,8.94,9.38,7.025,7.43,29163871.2,234881233.155
2022-08-22,7.43,7.775,6.79,6.85,19017233.1,139213180.759
2022-08-29,6.85,7.565,6.77,7.365,16696384.2,119777011.7115
2022-09-05,7.365,7.94,6.745,7.695,23361957.2,173327796.269
2022-09-12,7.695,8.04,6.295,6.44,20214675.6,145029055.3585
2022-09-19,6.44,6.635,5.96,6.2,27666976.7,174681345.8815
2022-09-26,6.2,6.795,6.12,6.15,26135540.2,166982195.2605
2022-10-03,6.15,6.525,6.08,6.475,16905325.9,107660856.383
2022-10-10,6.475,6.54,5.645,6.175,18746822.1,114248317.807
2022-10-17,6.175,6.29,5.715,5.955,18587207.5,111583704.106
2022-10-24,5.955,6.77,5.8,6.645,24829029.6,158690275.702
2022-10-31,6.645,7.24,6.155,6.81,26220623.2,175485218.554
2022-11-07,6.81,7.41,5.315,5.745,50051455.5,310947097.3545
2022-11-14,5.745,6.045,5.25,5.295,17052074.9,97068195.6095
2022-11-21,5.295,5.51,4.97,5.295,25690850.9,136171781.2995
2022-11-28,5.295,5.705,5.055,5.585,31968516.1,171956138.048
2022-12-05,5.585,5.73,5.08,5.16,20285777.0,109236812.028
2022-12-12,5.16,5.36,4.49,4.655,28374029.0,143339240.493
2022-12-19,4.655,4.705,4.365,4.49,20721427.0,93162645.737
2022-12-26,4.49,4.585,4.22,4.37,20211443.0,88477409.6485
2023-01-02,4.37,4.83,4.31,4.83,19989546.7,92042686.4485
2023-01-09,4.83,6.55,4.8,5.935,36708155.0,201483964.749
2023-01-16,5.935,6.47,5.575,6.21,45825892.8,274630016.653
2023-01-23,6.21,6.82,6.005,6.605,32680454.4,210194423.5585
2023-01-30,6.605,7.125,5.995,6.635,32225225.8,212549349.2537
2023-02-06,6.635,7.018,6.048,6.178,25762266.3,168927259.1717
2023-02-13,6.178,7.9,5.877,7.448,47381668.2,327303326.3019
2023-02-20,7.448,7.584,6.336,6.688,28205228.6,199622130.2568
2023-02-27,6.688,6.778,5.727,5.972,22172009.8,137841055.0184
2023-03-06,5.972,6.039,5.141,5.892,33138814.7,184877943.0235
2023-03-13,5.892,6.699,5.702,6.449,34460280.3,214004125.1172
2023-03-20,6.449,6.48,5.823,6.04,22612606.8,139591593.7893
2023-03-27,6.04,6.445,5.737,6.263,22224262.1,136368530.0433
2023-04-03,6.263,6.586,6.086,6.21,20450734.2,129167470.6163
2023-04-10,6.21,6.881,6.11,6.826,26391835.1,172857362.9719
2023-04-17,6.826,6.982,5.755,5.902,31701699.3,203170853.003
2023-04-24,5.902,6.214,5.574,5.871,25039433.1,148202540.9968
2023-05-01,5.871,5.906,5.554,5.626,20224411.0,115563168.2281
2023-05-08,5.626,5.644,5.11,5.346,21106875.3,112617939.0521
2023-05-15,5.346,5.464,5.216,5.27,13502126.4,71979143.7206
2023-05-22,5.27,5.56,5.136,5.497,11356424.4,60341525.8776
2023-05-29,5.497,5.536,5.155,5.312,11477156.7,61079457.3525
2023-06-05,5.312,5.32,4.061,4.517,20051651.1,96192781.2209
2023-06-12,4.517,4.797,4.268,4.535,17506332.2,78774683.9993
2023-06-19,4.535,5.241,4.37,5.192,19625912.3,94923087.9082
2023-06-26,5.192,5.528,4.743,5.495,25122742.3,128643047.1992
2023-07-03,5.495,5.636,4.971,5.077,17731271.4,93567517.0876
2023-07-10,5.077,5.741,4.976,5.307,19089624.5,102270504.2224
2023-07-17,5.307,5.7,5.079,5.386,22971266.7,123478909.1137
2023-07-24,5.386,5.411,5.061,5.181,13275994.8,69178430.4019
2023-07-31,5.181,5.257,4.923,5.003,13426999.8,67789481.983
2023-08-07,5.003,5.104,4.823,4.984,10309830.9,51533122.6507
2023-08-14,4.984,5.053,4.15,4.516,21223389.5,98409561.6403
2023-08-21,4.516,4.544,4.228,4.487,14855630.9,66002484.1402
2023-08-28,4.487,4.802,4.129,4.255,25339761.4,113071045.4711
2023-09-04,4.255,4.326,4.088,4.145,15688473.5,66258702.2145
2023-09-11,4.145,4.219,3.903,4.067,27943683.1,112984389.0741
