timestamp,open,high,low,close,volume,turnover
2024-12-16,1.0028,1.3408,0.6909,0.6993,222254251.0,198614899.1627
2024-12-23,0.6993,1.3197,0.5778,0.8661,807728589.0,784598963.4581
2024-12-30,0.8661,1.6161,0.7816,1.3042,832460901.0,1010970395.0003
2025-01-06,1.3042,1.4076,0.7209,0.7665,1158875906.0,1104519583.8349
2025-01-13,0.7665,2.7468,0.6773,2.1645,1970997975.0,2704694146.3342
2025-01-20,2.1645,2.4754,1.1013,1.1019,1764291507.0,2810404676.5339
2025-01-27,1.1019,1.2932,0.5344,0.7203,3464389891.0,2973368136.5102
2025-02-03,0.7203,0.8868,0.409,0.4849,4802979855.0,2790305110.6007
2025-02-10,0.4849,0.7191,0.4024,0.4227,3439835071.0,1834383661.7811
2025-02-17,0.4227,0.4683,0.278,0.3338,3581290158.0,1245983197.8999
2025-02-24,0.3338,0.3628,0.2322,0.3503,3569199640.0,1044500766.6759
2025-03-03,0.3503,0.3988,0.2082,0.2321,5672481580.0,1585115061.748
2025-03-10,0.2321,0.3589,0.1987,0.2956,5171703549.0,1426851957.7472
2025-03-17,0.2956,0.557,0.2652,0.5516,5736042167.0,2167470755.6041
2025-03-24,0.5516,0.6473,0.4021,0.4477,5524255112.0,2891506809.6341
2025-03-31,0.4477,0.5687,0.3551,0.4446,8939583371.0,4105355860.2598
2025-04-07,0.4446,0.9895,0.4091,0.8031,9329855469.0,6289987678.0998
2025-04-14,0.8031,0.9697,0.7166,0.8954,4941980661.0,4209328569.1664
2025-04-21,0.8954,1.21,0.8231,1.0723,3575995608.0,3738374139.8707
2025-04-28,1.0723,1.2947,1.035,1.0857,2214756367.0,2545940993.4121
2025-05-05,1.0857,1.4598,0.9248,1.3448,2508625691.0,2933624239.6922
2025-05-12,1.3448,1.4796,1.1546,1.3608,2192093682.0,2888157626.2048
2025-05-19,1.3608,1.6499,1.1619,1.4581,2166496281.0,3006621471.1219
2025-05-26,1.4581,1.4749,1.0003,1.1487,1739701771.0,2126400333.8914
2025-06-02,1.1487,1.2095,0.861,1.0382,2894277420.0,2950957813.4938
2025-06-09,1.0382,1.5388,1.0206,1.2104,3428411677.0,4234493097.575
2025-06-16,1.2104,1.3245,0.793,0.9292,3542171627.0,3633537844.8508
2025-06-23,0.9292,1.1862,0.8534,1.1541,3301065776.0,3353312947.8319
2025-06-30,1.1541,1.2767,1.0039,1.17,2573386550.0,2970597070.0068
2025-07-07,1.17,1.396,1.0211,1.2811,2823425822.0,3338415497.9253
2025-07-14,1.2811,1.58,1.1755,1.4192,3237590680.0,4474590806.0708
2025-07-21,1.4192,1.6954,1.2483,1.3446,2689547503.0,3970477470.6619
2025-07-28,1.3446,1.4256,0.8709,0.9278,3053849419.0,3220203598.819
2025-08-04,0.9278,1.1462,0.9031,1.0863,2776221542.0,2780970049.0115
2025-08-11,1.0863,1.1836,0.8319,0.964,3962041162.0,3986814859.8179
2025-08-18,0.964,0.995,0.8079,0.9433,3153408819.0,2868590057.572
2025-08-25,0.9433,0.985,0.733,0.7522,3333284639.0,2711424457.1616
2025-09-01,0.7522,0.8195,0.6835,0.7581,2378759480.0,1800174558.6915
2025-09-08,0.7581,0.9725,0.7502,0.8704,2073393289.0,1798267915.2643
2025-09-15,0.8704,0.9568,0.6889,0.7087,1924839409.0,1597115511.9929
2025-09-22,0.7087,0.7154,0.5355,0.6355,2846353737.0,1709865611.9614
2025-09-29,0.6355,0.7467,0.5733,0.6764,3093269079.0,2006759454.3696
2025-10-06,0.6764,0.7662,0.0931,0.4543,4753660253.0,2480577278.3424
2025-10-13,0.4543,0.4803,0.3388,0.3667,3514076971.0,1421564298.2472
