timestamp,open,high,low,close,volume,turnover
2023-01-27,2.329,2.4635,2.2215,2.3945,23665726.1,55483030.59715
2023-01-28,2.3945,2.454,2.182,2.238,17846834.9,41241108.66205
2023-01-29,2.238,2.35,2.2035,2.3005,16847052.8,38552338.8388
2023-01-30,2.3005,2.349,1.9765,2.0715,27724395.6,58767356.09305
2023-01-31,2.0715,2.2355,2.051,2.2,18134336.7,38811537.24135
2023-02-01,2.2,2.36,2.044,2.309,22622491.5,49613119.6603
2023-02-02,2.309,2.53,2.23,2.269,29484859.5,69820899.8971
2023-02-03,2.269,2.404,2.162,2.358,22790708.1,51902960.63255
2023-02-04,2.358,2.403,2.182,2.2125,16117526.4,36720019.0582
2023-02-05,2.2125,2.222,1.887,2.048,23420740.9,48685738.0988
2023-02-06,2.048,2.3335,1.9895,2.203,35492680.4,77396788.43825
2023-02-07,2.203,2.669,2.2025,2.5825,52392666.9,130025172.42005
2023-02-08,2.5825,2.7125,2.2965,2.5665,36018870.1,90212397.2441
2023-02-09,2.5665,2.9985,2.302,2.633,124992202.4,329171071.99605
2023-02-10,2.633,2.8345,2.2365,2.2815,72510746.9,183065910.94775
2023-02-11,2.2815,2.402,2.204,2.372,23144161.8,53108864.13795
2023-02-12,2.372,2.65,2.3545,2.51,34596360.3,86678247.04465
2023-02-13,2.51,2.5415,2.2065,2.387,36629924.7,85269448.72
2023-02-14,2.387,2.6705,2.264,2.5705,32612186.0,80656216.89385
2023-02-15,2.5705,2.859,2.512,2.8545,29158444.9,79340950.68075
2023-02-16,2.8545,2.999,2.575,2.597,38932424.2,109504360.4524
2023-02-17,2.597,3.15,2.596,3.0305,42630493.4,124151863.05045
2023-02-18,3.0305,3.3325,2.9475,3.2545,28352614.4,89021687.1833
2023-02-19,3.2545,3.257,2.9105,2.9435,23845498.6,73859674.07765
2023-02-20,2.9435,3.0705,2.8245,2.9295,17437946.6,51506011.6579
2023-02-21,2.9295,3.008,2.685,2.7955,22367047.9,62885836.833
2023-02-22,2.7955,2.94,2.628,2.911,31786987.0,89212742.7412
2023-02-23,2.911,3.213,2.897,3.0,35548477.9,108873140.1513
2023-02-24,3.0,3.0665,2.742,2.8735,30335432.5,88330434.75305
2023-02-25,2.8735,2.9425,2.6915,2.9305,23448490.1,65571581.5432
2023-02-26,2.9305,3.1795,2.9145,3.1205,22674289.5,69351100.4637
2023-02-27,3.1205,3.304,2.9805,3.2695,33714781.5,107008581.9209
2023-02-28,3.2695,3.27,2.983,3.0045,26423667.2,81845504.6023
2023-03-01,3.0045,3.166,2.953,3.0215,18175708.0,55601043.8472
2023-03-02,3.0215,3.0835,2.8535,3.0215,25081664.7,73973336.9382
2023-03-03,3.0215,3.056,2.717,2.8215,50688506.6,146063886.6585
2023-03-04,2.8215,2.8305,2.405,2.5535,43669450.7,114845328.94845
2023-03-05,2.5535,2.703,2.5135,2.6215,31770007.2,83426420.8497
2023-03-06,2.6215,2.6585,2.4835,2.5895,28801711.5,73913880.1858
2023-03-07,2.5895,2.6715,2.4465,2.552,39519420.5,101306983.5776
2023-03-08,2.552,2.579,2.306,2.3575,29151269.3,71850627.5256
2023-03-09,2.3575,2.4295,2.167,2.278,40415372.0,93079559.8641
