timestamp,open,high,low,close,volume,turnover
2023-01-27,2.409,2.622,2.317,2.54,3439695.6,8573951.012
2023-01-28,2.54,2.578,2.421,2.45,2446102.9,6056554.7193
2023-01-29,2.45,2.507,2.423,2.486,1910787.4,4692423.9536
2023-01-30,2.486,2.509,2.179,2.289,4022548.9,9282752.3656
2023-01-31,2.289,2.354,2.251,2.302,1217919.7,2802647.0563
2023-02-01,2.302,2.74,2.189,2.67,4741804.3,11814170.1529
2023-02-02,2.67,2.758,2.495,2.511,7451364.7,19584039.3759
2023-02-03,2.511,2.659,2.46,2.566,4726453.0,12077553.7456
2023-02-04,2.566,2.906,2.519,2.713,6948165.8,19118465.8319
2023-02-05,2.713,2.761,2.495,2.561,4569591.4,12014791.9136
2023-02-06,2.561,2.911,2.45,2.787,7542710.9,20688197.5106
2023-02-07,2.787,2.963,2.76,2.928,8037885.6,22970189.301
2023-02-08,2.928,3.028,2.578,2.689,5534198.3,15459753.1768
2023-02-09,2.689,2.72,2.284,2.377,5608163.8,14188311.6526
2023-02-10,2.377,2.495,2.325,2.392,2812852.0,6748173.4381
2023-02-11,2.392,2.456,2.361,2.445,565138.4,1359632.1281
2023-02-12,2.445,2.507,2.31,2.351,1717287.7,4162375.3235
2023-02-13,2.351,2.472,2.224,2.399,3486344.0,8206660.5861
2023-02-14,2.399,2.502,2.304,2.487,2519859.5,6059614.1742
2023-02-15,2.487,2.748,2.426,2.737,3365296.1,8646932.8615
2023-02-16,2.737,2.765,2.398,2.438,3964660.8,10422594.8457
2023-02-17,2.438,2.668,2.422,2.624,2412275.5,6176998.0036
2023-02-18,2.624,2.652,2.541,2.602,992645.0,2580103.0067
2023-02-19,2.602,2.78,2.566,2.618,3482905.3,9318654.5331
2023-02-20,2.618,2.84,2.532,2.763,4544891.8,12479503.8364
2023-02-21,2.763,2.817,2.54,2.613,2640803.7,7044235.1317
2023-02-22,2.613,2.633,2.391,2.506,2294959.3,5695405.0141
2023-02-23,2.506,2.805,2.442,2.618,4666301.8,12196162.508
2023-02-24,2.618,2.795,2.464,2.643,6534889.4,17276875.0557
2023-02-25,2.643,2.699,2.398,2.469,2642142.4,6695990.4223
2023-02-26,2.469,2.682,2.428,2.673,1285039.9,3279342.3645
2023-02-27,2.673,2.833,2.583,2.822,3858042.7,10489806.9076
2023-02-28,2.822,2.967,2.761,2.783,7664797.3,21990947.1336
2023-03-01,2.783,3.059,2.756,3.031,5878789.4,17383538.6155
2023-03-02,3.031,3.044,2.776,2.892,4747632.4,13667001.5927
2023-03-03,2.892,2.919,2.545,2.875,7992890.6,22117810.7409
2023-03-04,2.875,3.042,2.761,2.873,13463529.3,39502524.1946
2023-03-05,2.873,3.4,2.858,3.109,18412086.2,57157684.0687
2023-03-06,3.109,3.31,3.044,3.113,12000453.8,38011335.0995
2023-03-07,3.113,3.156,2.791,2.928,9818040.8,29141671.8365
2023-03-08,2.928,2.949,2.548,2.606,6172486.0,16946705.5047
2023-03-09,2.606,2.612,2.26,2.366,8069656.7,19816858.5075
2023-03-10,2.366,2.373,2.094,2.238,6907239.1,15160271.5311
2023-03-11,2.238,2.308,1.985,2.182,7117897.2,15124096.1189
2023-03-12,2.182,2.789,2.105,2.78,7672374.9,18152510.5872
2023-03-13,2.78,3.356,2.734,3.148,28283100.2,83954706.3749
2023-03-14,3.148,3.291,2.893,3.145,13176258.2,40905475.9007
2023-03-15,3.145,3.385,2.526,2.652,16129823.4,47532553.3967
2023-03-16,2.652,3.017,2.516,2.808,13641562.9,38535675.5029
2023-03-17,2.808,3.159,2.72,3.038,12138522.3,35036009.3665
2023-03-18,3.038,3.131,2.762,2.866,7732584.1,22893205.8411
2023-03-19,2.866,2.989,2.789,2.868,4266119.0,12372293.642
2023-03-20,2.868,3.207,2.796,2.992,17382745.7,52833331.921
2023-03-21,2.992,3.044,2.782,2.855,7954482.3,23129965.7847
2023-03-22,2.855,2.894,2.573,2.678,10128957.0,27965988.1772
2023-03-23,2.678,2.779,2.621,2.707,4881462.2,13149204.9844
2023-03-24,2.707,2.755,2.476,2.532,4196457.4,10866462.0402
2023-03-25,2.532,2.565,2.359,2.41,3554635.2,8733770.3827
2023-03-26,2.41,2.504,2.398,2.469,2084022.5,5089301.4526
2023-03-27,2.469,2.549,2.282,2.342,7216029.2,17347272.5099
2023-03-28,2.342,2.424,2.287,2.392,2700074.3,6339433.1521
2023-03-29,2.392,2.588,2.384,2.561,3608920.4,8967423.1087
2023-03-30,2.561,2.588,2.384,2.435,3289337.6,8123642.1113
2023-03-31,2.435,2.605,2.368,2.561,3268830.6,8058128.0513
2023-04-01,2.561,2.589,2.508,2.581,3120990.6,7967644.1056
2023-04-02,2.581,2.661,2.506,2.561,3204571.6,8267035.3173
2023-04-03,2.561,2.71,2.454,2.545,6539846.2,17040906.5943
2023-04-04,2.545,2.786,2.529,2.759,3650487.3,9776029.3709
2023-04-05,2.759,2.881,2.658,2.715,2757254.2,7602735.2139
2023-04-06,2.715,2.73,2.638,2.681,1789749.4,4811906.7617
2023-04-07,2.681,2.703,2.623,2.642,1119459.8,2984979.6922
2023-04-08,2.642,2.722,2.584,2.629,1204297.7,3190854.5689
2023-04-09,2.629,2.674,2.536,2.632,1570867.7,4074386.0299
2023-04-10,2.632,2.702,2.581,2.699,1466993.3,3880051.9805
2023-04-11,2.699,2.734,2.617,2.63,2490245.4,6628402.02
2023-04-12,2.63,2.638,2.503,2.575,2267944.2,5825162.3399
2023-04-13,2.575,2.666,2.541,2.635,2289687.5,6005385.9258
2023-04-14,2.635,2.782,2.627,2.738,4577354.4,12405437.0695
2023-04-15,2.738,2.84,2.686,2.751,2326245.8,6459196.7121
2023-04-16,2.751,2.878,2.687,2.844,3035880.2,8441517.2852
2023-04-17,2.844,2.847,2.697,2.758,2031567.1,5594813.1005
2023-04-18,2.758,3.031,2.703,3.021,6428059.2,18759379.1984
2023-04-19,3.021,3.089,2.751,2.838,12299489.9,36003173.9527
2023-04-20,2.838,3.029,2.645,2.701,8116564.2,23130197.4962
2023-04-21,2.701,2.738,2.452,2.491,4984827.6,12987710.6051
2023-04-22,2.491,2.554,2.453,2.541,2644623.7,6598048.7225
2023-04-23,2.541,2.544,2.406,2.481,1938474.6,4796134.6264
2023-04-24,2.481,2.524,2.41,2.474,1981144.0,4888712.7225
2023-04-25,2.474,2.483,2.325,2.483,2407232.8,5780904.3642
2023-04-26,2.483,2.606,2.259,2.409,6587037.9,16173414.1384
2023-04-27,2.409,2.495,2.377,2.451,3119761.7,7597329.3202
2023-04-28,2.451,2.473,2.388,2.442,1464536.7,3560992.1431
2023-04-29,2.442,2.512,2.435,2.473,1184600.5,2931172.271
2023-04-30,2.473,2.497,2.397,2.424,1233292.8,3017461.6096
2023-05-01,2.424,2.441,2.305,2.348,1166631.9,2766785.8799
2023-05-02,2.348,2.463,2.321,2.443,1050035.0,2501572.0931
2023-05-03,2.443,2.517,2.378,2.507,3543387.8,8646528.8812
2023-05-04,2.507,2.538,2.442,2.488,1129441.4,2813545.2902
2023-05-05,2.488,2.584,2.43,2.568,2044306.8,5130716.9019
2023-05-06,2.568,2.571,2.34,2.392,1960819.2,4751333.3159
2023-05-07,2.392,2.402,2.351,2.36,797137.6,1894812.5767
2023-05-08,2.36,2.384,2.105,2.165,4221939.3,9356204.1661
