timestamp,open,high,low,close,volume,turnover
2023-07-24,2.711,2.92,1.836,2.289,412354701.2,930237143.6158
2023-07-31,2.289,2.533,2.012,2.04,157057440.3,360535371.6609
2023-08-07,2.04,2.109,1.649,1.769,152120053.5,279377927.2473
2023-08-14,1.769,1.818,1.192,1.467,148701197.4,228360869.1666
2023-08-21,1.467,1.531,1.22,1.311,80630855.6,110938213.0687
2023-08-28,1.311,1.387,1.092,1.129,184079612.1,221081000.295
2023-09-04,1.129,1.39,1.018,1.091,292818047.8,353741106.8302
2023-09-11,1.091,1.751,0.97,1.264,462043739.5,605124995.7894
2023-09-18,1.264,1.694,1.231,1.619,392037526.6,579013534.214
2023-09-25,1.619,1.896,1.571,1.778,303103407.3,526632756.7988
2023-10-02,1.778,1.804,1.448,1.581,127431725.3,203725244.4493
2023-10-09,1.581,1.654,1.422,1.528,110921164.2,169306446.9552
2023-10-16,1.528,1.726,1.399,1.632,158495384.1,248915706.9876
2023-10-23,1.632,1.958,1.479,1.8,261166017.1,457363346.7739
2023-10-30,1.8,2.05,1.702,1.821,135881733.7,255736877.0351
2023-11-06,1.821,2.098,1.542,1.95,112800487.5,210538958.8205
2023-11-13,1.95,2.628,1.816,2.419,307255113.9,691004770.1145
2023-11-20,2.419,2.88,2.166,2.662,257828251.5,638372087.5976
2023-11-27,2.662,2.786,2.316,2.466,107053818.3,267818373.1105
2023-12-04,2.466,2.754,2.29,2.693,105108581.1,262030515.6686
2023-12-11,2.693,4.799,2.303,4.211,274108034.8,942950381.2389
2023-12-18,4.211,4.362,3.26,3.369,188562282.1,711338022.0914
2023-12-25,3.369,4.087,3.333,3.638,107368615.8,393753935.2575
2024-01-01,3.638,3.924,2.295,2.631,75076043.9,243121372.7681
2024-01-08,2.631,3.191,2.372,2.666,78031509.9,213840941.2109
2024-01-15,2.666,2.858,2.342,2.504,26395005.6,69421633.1924
2024-01-22,2.504,2.522,2.072,2.278,31302208.7,71978765.2222
2024-01-29,2.278,2.764,2.166,2.181,60508646.0,148646776.5297
2024-02-05,2.181,2.607,2.151,2.461,29335158.9,70352542.1
2024-02-12,2.461,6.44,2.46,5.899,233121447.3,1022893632.894
2024-02-19,5.899,9.489,5.845,8.557,508347824.2,3876896928.2036
2024-02-26,8.557,9.272,6.85,7.925,294921114.2,2335634827.5182
2024-03-04,7.925,11.999,5.298,9.567,273646030.2,2309640010.2278
2024-03-11,9.567,10.899,8.152,9.561,182014049.0,1753474039.4921
2024-03-18,9.561,9.843,7.2,8.464,108376236.9,895161424.5072
2024-03-25,8.464,9.482,8.027,8.229,80450442.0,693948483.3911
2024-04-01,8.229,8.316,6.46,7.214,73251629.2,519638232.9147
2024-04-08,7.214,7.489,3.659,5.138,135909864.7,748472401.1798
2024-04-15,5.138,5.898,4.452,5.532,133603555.5,664427547.4249
2024-04-22,5.532,6.182,4.319,4.702,126053969.8,637325447.8789
2024-04-29,4.702,5.847,4.171,5.741,110933545.7,534273835.2519
2024-05-06,5.741,6.537,5.207,5.946,158310493.3,927148975.1932
2024-05-13,5.946,6.329,4.601,4.698,174822929.0,899540726.3539
2024-05-20,4.698,5.269,4.37,4.537,115881318.2,558569779.2489
2024-05-27,4.537,5.193,4.51,4.68,109161465.4,527742884.2205
2024-06-03,4.68,5.133,3.8,4.242,97478734.0,449527777.5784
2024-06-10,4.242,4.407,3.226,3.455,133728237.2,512276089.8252
2024-06-17,3.455,3.489,2.46,2.817,213518735.6,628892263.6919
2024-06-24,2.817,2.997,2.326,2.467,140778104.0,380687938.5982
2024-07-01,2.467,2.558,1.744,1.875,594722407.0,1269677506.8628
2024-07-08,1.875,2.076,1.722,1.856,355346860.5,664625141.9537
2024-07-15,1.856,3.251,1.853,2.569,1044236009.9,2778170158.7737
2024-07-22,2.569,2.631,2.005,2.345,580285923.2,1331287782.1141
2024-07-29,2.345,2.434,1.551,1.639,340242159.1,681779575.1385
2024-08-05,1.639,1.889,1.338,1.599,471214576.2,761446058.9253
2024-08-12,1.599,1.748,1.429,1.513,233377926.9,368319328.0556
2024-08-19,1.513,1.975,1.414,1.845,331036422.2,557775641.2642
2024-08-26,1.845,1.879,1.386,1.401,348027439.1,541561998.2756
2024-09-02,1.401,1.514,1.282,1.396,354932309.0,494894083.9342
2024-09-09,1.396,1.618,1.36,1.47,403603118.8,596752091.0341
2024-09-16,1.47,1.688,1.383,1.562,347171020.6,531857481.8654
2024-09-23,1.562,2.18,1.52,2.044,652961090.8,1285818787.1703
2024-09-30,2.044,2.071,1.533,1.935,631488101.4,1122713284.363
2024-10-07,1.935,2.123,1.637,2.077,525052974.5,1003309085.5896
2024-10-14,2.077,2.649,2.071,2.428,775259168.2,1813472361.1558
2024-10-21,2.428,2.489,1.769,2.043,372306752.0,804737225.6618
2024-10-28,2.043,2.143,1.625,1.727,354975775.7,680882963.7583
2024-11-04,1.727,2.273,1.587,2.118,490363541.5,955508322.0122
2024-11-11,2.118,2.86,2.097,2.232,736206367.1,1736920395.2327
2024-11-18,2.232,2.692,2.022,2.553,493447964.5,1142685114.702
2024-11-25,2.553,3.741,2.246,3.408,663596781.7,1904422246.1657
2024-12-02,3.408,4.193,2.963,3.814,576658047.2,2025054248.0568
2024-12-09,3.814,3.816,2.422,3.051,498848824.1,1505931955.3603
2024-12-16,3.051,3.161,1.936,2.214,475551300.7,1141260848.5754
2024-12-23,2.214,2.416,2.084,2.106,190089677.1,425289983.6628
2024-12-30,2.106,2.445,2.011,2.409,169806003.0,381046954.1295
2025-01-06,2.409,2.802,2.049,2.144,345095698.5,814003506.8862
2025-01-13,2.144,2.378,1.834,1.906,361900217.3,751698935.0965
2025-01-20,1.906,2.468,1.793,1.989,657090749.0,1403125567.5437
2025-01-27,1.989,1.991,1.278,1.39,490183599.2,841510726.6279
2025-02-03,1.39,1.448,0.957,1.222,618146782.3,773984620.4607
2025-02-10,1.222,1.376,1.168,1.218,336345271.0,423952550.5746
2025-02-17,1.218,1.322,1.075,1.238,302149214.2,360922016.0244
2025-02-24,1.238,1.26,0.969,1.211,456156220.0,500950149.2879
2025-03-03,1.211,1.257,0.776,0.795,615303481.9,596394964.5016
2025-03-10,0.795,0.9109,0.698,0.832,374826717.8,304316089.30421
2025-03-17,0.832,0.9191,0.8057,0.8287,255135602.5,216758102.49622
2025-03-24,0.8287,0.9864,0.7606,0.779,405657991.9,363223387.06964
2025-03-31,0.779,0.8442,0.6127,0.6314,337221794.9,252105150.01949
2025-04-07,0.6314,0.7911,0.5724,0.7428,347392388.6,235456598.80955
2025-04-14,0.7428,0.7889,0.6762,0.777,205522251.6,149537888.54197
2025-04-21,0.777,1.2588,0.7481,1.1229,439344290.8,442830207.72682
